epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,26.1508,0.68824,0.63889,1,0.63428,0.00164095,0.000546984,0.00164095,0.000546984,0.00164095,0.000546984,0.00164095,0.000546984
2,39.317,0.5932,0.75,1,0.49866,0.00325337,0.00108446,0.00325337,0.00108446,0.00325337,0.00108446,0.00325337,0.00108446
3,49.6044,0.50691,0.76389,1,0.55334,0.00481078,0.00160359,0.00481078,0.00160359,0.00481078,0.00160359,0.00481078,0.00160359
4,64.4858,0.39249,0.73611,1,0.55359,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
5,75.8395,0.30824,0.76389,1,0.35699,0.00467093,0.00155698,0.00467093,0.00155698,0.00467093,0.00155698,0.00467093,0.00155698
6,87.5935,0.22646,0.76389,1,0.58301,0.00458842,0.00152947,0.00458842,0.00152947,0.00458842,0.00152947,0.00458842,0.00152947
7,97.9918,0.16953,0.76389,1,0.51013,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
8,108.282,0.13265,0.76389,1,0.85181,0.00442338,0.00147446,0.00442338,0.00147446,0.00442338,0.00147446,0.00442338,0.00147446
9,118.211,0.09648,0.79167,1,0.84131,0.00434087,0.00144696,0.00434087,0.00144696,0.00434087,0.00144696,0.00434087,0.00144696
10,128.627,0.08096,0.76389,1,1.02051,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
11,139.363,0.06854,0.76389,1,0.49634,0.00417584,0.00139195,0.00417584,0.00139195,0.00417584,0.00139195,0.00417584,0.00139195
12,149.585,0.05758,0.75,1,0.67432,0.00409332,0.00136444,0.00409332,0.00136444,0.00409332,0.00136444,0.00409332,0.00136444
13,159.478,0.05644,0.77778,1,0.6604,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
14,169.45,0.04503,0.76389,1,0.72534,0.00392829,0.00130943,0.00392829,0.00130943,0.00392829,0.00130943,0.00392829,0.00130943
15,179.566,0.03641,0.75,1,1.06177,0.00384577,0.00128192,0.00384577,0.00128192,0.00384577,0.00128192,0.00384577,0.00128192
16,190.071,0.03991,0.76389,1,0.87866,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
17,200.314,0.03426,0.76389,1,0.55365,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691
18,214.722,0.03236,0.76389,1,1.33838,0.00359822,0.00119941,0.00359822,0.00119941,0.00359822,0.00119941,0.00359822,0.00119941
19,226.079,0.03288,0.77778,1,0.69031,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
20,238.511,0.02528,0.77778,1,0.87158,0.00343319,0.0011444,0.00343319,0.0011444,0.00343319,0.0011444,0.00343319,0.0011444
21,249.776,0.02378,0.77778,1,1.2085,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689
22,260.863,0.01692,0.76389,1,0.87573,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
23,271.84,0.02156,0.75,1,0.47945,0.00318564,0.00106188,0.00318564,0.00106188,0.00318564,0.00106188,0.00318564,0.00106188
24,282.705,0.01945,0.77778,1,0.55768,0.00310312,0.00103437,0.00310312,0.00103437,0.00310312,0.00103437,0.00310312,0.00103437
